Posicion;id;Descripción;Cantidad
B - C7 - N2;127082721;Pinza blanca ;92
B - C7 - N3;310080804;Rectángulo 16 puntos rojo - Porta ejes negro cuadrado;90
B - C7 - N4;310802700;Rectángulo 16 puntos verde - Rectángulo 2 puntos morado;90
B - C7 - N5;304600034;Rines blancos;201
B - C7 - N6;303480061;Pelota ping pong naranjada;87
B - C7 - N7;310012011;Rectángulo 8 puntos morado;120
B - C7 - N8;310015020;Llantas negras - Rines verde;126
B - C8 - N1;310081222;Rectángulo 4 puntos gris - Porta ejes negro cuadrado;90
B - C8 - N2;310015021;Rectángulo 4 puntos azul - Rectángulo 4 puntos morado;71
B - C8 - N3;310015015;Rectángulo 4 puntos azul - Triángulo negro;90
B - C8 - N4;127082720;Pinza verde ;94
B - C8 - N5;127082741;Rectángulo 8 puntos morado - Rectángulo 2 puntos negro;92
B - C8 - N6;127082733;Pinza roja ;89
B - C8 - N7;310093233;Rectángulo 8 puntos gris;101
B - C8 - N8;333390432;Rectángulo 4 puntos rojo - Rectángulo 2 puntos negro;90
C - C1 - N1;127082744;Probeta hueso roja ;78
C - C1 - N2;310093214;Catapis amarillo;93
C - C1 - N3;127082745;Tapa azul / morado;93
C - C1 - N4;371302200;Rectángulo 8 puntos azul - Rectángulo 2 puntos rojo;100
C - C1 - N5;310093233;Rectángulo 8 puntos gris;100
C - C1 - N6;310302221;Trapecio mediano fucsia;120
C - C1 - N7;340300613;Rectángulo 8 puntos amarillo - Porta ejes negro cuadrado;86
C - C1 - N8;127082721;Pinza blanca ;92
C - C2 - N1;310081231;Rectángulo 8 puntos gris - Rectángulo 4 puntos rojo;65
C - C2 - N2;110150-S02;Gancho azul / morado;96
C - C2 - N3;310081216;Rines rojos - Porta ejes negro redondo;90
C - C2 - N4;304600205;Llantas negras;197
C - C2 - N5;310720008;Rines verdes;116
C - C2 - N6;304600135;Rectángulo 8 puntos azul - Triángulo negro;90
C - C2 - N7;310092017;Triángulo amarillo plano;173
C - C2 - N8;127082739;Tapa blanca ;87
C - C3 - N1;310081228;Ficha parqués amarillo;96
C - C3 - N2;340300608;Llantas negras - Rines blancos;103
C - C3 - N3;310081218;Rectángulo 4 puntos azul - Rectángulo 8 puntos morado;90
C - C3 - N4;310081225;Rectángulo 16 puntos amarillo - Rectángulo 8 puntos azul;108
C - C3 - N5;127082731;Tapa roja ;83
C - C3 - N6;340300605;Trapecio mediano negro;122
C - C3 - N7;304600151;Pelota ping pong fucsia;69
C - C3 - N8;310302220;Trapecio pequeño rojo;117
C - C4 - N1;127082716;Pinza azul / morado;93
C - C4 - N2;304940006;Peinilla azul;96
C - C4 - N3;310084000;Portavasos rojo;100
C - C4 - N4;340311026;Trapecio mediano verde;151
C - C4 - N5;310424359;Porta bombas verde;100
C - C4 - N6;127082719;Pinza fucsia ;97
C - C4 - N7;3712022;Rectángulo 4 puntos negro - Rectángulo 2 puntos gris;90
C - C4 - N8;310080807;Peinilla amarilla;96
C - C5 - N1;310014013;Gancho de madera;100
C - C5 - N2;315077014;Rectángulo 4 puntos morado - Rectángulo 16 puntos verde;87
C - C5 - N3;310010077;Rectángulo 4 puntos azul - Rectángulo 8 puntos gris;98
C - C5 - N4;303540063;Rectángulo 8 puntos gris - Rines rojos;96
C - C5 - N5;310096406;Carenaje rojo;86
C - C5 - N6;315077012;Trapecio mediano blanco;102
C - C5 - N7;310080808;Trapecio pequeño fucsia;119
C - C5 - N8;303430018;Rectángulo 16 puntos verde - Porta ejes negro redondo;71
C - C6 - N1;303480062;Trapecio mediano morado;120
C - C6 - N2;303420077;Rectángulo 4 puntos morado - Rectángulo 8 puntos morado;100
C - C6 - N3;310015016;Hélice azul;100
C - C6 - N4;303540064;Rectángulo 4 puntos azul;75
C - C6 - N5;303480063;Vara verde;100
C - C6 - N6;304600014;Porta ejes negro redondo - Plana verde;91
C - C6 - N7;340311034;Medias llantas;199
C - C6 - N8;310080812;Pitillo amarillo;90
C - C7 - N1;310095039;Trompo fucsia;96
C - C7 - N2;304600007;Trapecio pequeño amarillo;116
C - C7 - N3;127082735;Tapa negra ;90
C - C7 - N4;127082738;Probeta hueso verde ;77
C - C7 - N5;310096408;Rectángulo 16 puntos amarillo - Rectángulo 8 puntos gris;111
C - C7 - N6;304600016;Gancho negro;74
C - C7 - N7;127082728;Portavasos verde;73
C - C7 - N8;303430017;Grapadora suncho naranjado;150
C - C8 - N1;310094035;Ping Pong blanco;105
C - C8 - N2;127082723;Probeta hueso negra;128
C - C8 - N3;310094039;Carenaje rojo - Rectángulo 16 puntos amarillo ;84
C - C8 - N4;340311001;Soporte blanco ;150
C - C8 - N5;127082761;Rectángulo 16 puntos rojo - Triángulo azul;96
C - C8 - N6;310302207;Hélice naranjada;100
C - C8 - N7;310302220;Trapecio pequeño rojo;117
C - C8 - N8;305660054;Grapadora suncho gris;130
D - C1 - N1;310094037;Pitillo verde;90
D - C1 - N2;310092018;Gancho rosado;138
D - C1 - N3;310095043;Porta bombas rojo;90
D - C1 - N4;304600207;Rectángulo 8 puntos rojo;122
D - C1 - N5;371302202;Rectángulo 16 puntos amarillo - Rectángulo 8 puntos morado;82
D - C1 - N6;333390428;Rectángulo 4 puntos azul - Porta ejes negro redondo;83
D - C1 - N7;303421050;Rectángulo 8 puntos amarillo - Rectángulo 2 puntos gris;89
D - C1 - N8;310720007;Triángulo rojo plano;175
D - C2 - N1;310094040;Trompo azul;95
D - C2 - N2;306000027;Pitillo rojo;90
D - C2 - N3;310080811;Clip negro;96
D - C2 - N4;340311026;Trapecio mediano verde;87
D - C2 - N5;310080810;Portavasos blanco;92
D - C2 - N6;300005087;Rectángulo 8 puntos gris - Porta ejes negro cuadrado;97
D - C2 - N7;127082733;Pinza roja ;97
D - C2 - N8;300043030;Trapecio pequeño morado;119
D - C3 - N1;304600147;Porta bombas rosado;90
D - C3 - N2;127082715;Pinza negra ;91
D - C3 - N3;304600206;Gancho verde;95
D - C3 - N4;310099993;Rines rojos;114
D - C3 - N5;333390429;Portavasos azul / morado;100
D - C3 - N6;127082716;Pinza azul / morado;93
D - C3 - N7;310302221;Trapecio mediano fucsia;113
D - C3 - N8;127082718;Tapa amarilla ;85
D - C4 - N1;305660049;Trompo amarillo;97
D - C4 - N2;127082727;Probeta hueso blanca ;77
D - C4 - N3;310084700;Tope naranjado;112
D - C4 - N4;127082731;Tapa roja ;97
D - C4 - N5;304600011;Pelotas ping pong azul;69
D - C4 - N6;127082739;Tapa blanca ;101
D - C4 - N7;310015020;Llantas negras - Rines verde;113
D - C4 - N8;300005088;Vara perpendicular blanca ;116
D - C5 - N1;310012010;Gancho naranjado;96
D - C5 - N2;127082745;Tapa azul / morado;96
D - C5 - N3;360750100;Trapecio mediano amarillo;120
D - C5 - N4;310302206;Rectángulo 8 puntos amarillo - Rectángulo 2 puntos morado;103
D - C5 - N5;310302213;Rectángulo 8 puntos naranja;111
D - C5 - N6;340311012;Triángulo morado plano;179
D - C5 - N7;304600034;Rines blancos;240
D - C5 - N8;127082730;Pinza amarilla;124
D - C6 - N1;310014017;Porta ejes negro redondo - Porta ejes negro cuadrado;90
D - C6 - N2;340311007;Rectángulo 8 puntos azul - Porta ejes negro cuadrado;90
D - C6 - N3;127082719;Pinza fucsia ;90
D - C6 - N4;127082777;Vara perpendicular roja  ;105
D - C6 - N5;310096407;Rectángulo 8 puntos amarillo;90
D - C6 - N6;304600148;Rines rojos - Rectángulo 2 puntos morado;90
D - C6 - N7;310720008;Rines verdes;150
D - C6 - N8;127082721;Pinza blanca ;92
D - C7 - N1;310084301;Trapecio pequeño blanco;119
D - C7 - N2;127082750;Tapa fucsia;116
D - C7 - N3;310302220;Trapecio pequeño rojo;115
D - C7 - N4;304600010;Porta ejes negro redondo;100
D - C7 - N5;310080818;Pelota ping pong amarilla;100
D - C7 - N6;315077018;Rectángulo 8 puntos azul - Plana verde;92
D - C7 - N7;340311011;Pelota ping pong verde;72
D - C7 - N8;127082707;Triángulo verde plano;183
D - C8 - N1;127082735;Tapa negra ;90
D - C8 - N2;127082720;Pinza verde ;91
D - C8 - N3;304600120;Rectángulo 8 puntos morado - Rines rojos;120
D - C8 - N4;318900001;Triángulo blanco plano ;172
D - C8 - N5;340300608;Llantas negras - Rines blancos;102
D - C8 - N6;310082001;Rectángulo 16 puntos rojo - Rectángulo 16 puntos verde;62
D - C8 - N7;127082722;Carenaje rojo - Rectángulo 8 puntos gris;80
D - C8 - N8;127082708;Triángulo fucsia plano;179
E - C1 - N1;127082750;Tapa fucsia;114
E - C1 - N2;127082749;Catapis naranjado;86
E - C1 - N3;127082747;Probeta hueso azul / morado;77
E - C1 - N4;127082748;Trapecio grande negro ;120
E - C1 - N5;127082717;Probeta hueso amarilla;73
E - C10 - N1;127082743;Ficha parqués roja;96
E - C10 - N2;310093218;Trapecio pequeño negro;117
E - C10 - N3;320079013;Vara azul ;100
